Url,ExpirationOn,CertExpiresInDays,CheckResult,Details,Server,Service
https://journal.ahima.org,11/14/2020 8:44,21,WARNING,"Cert for site https://journal.ahima.org expires in 21 days [on 11/14/2020 08:44:51]
Threshold is 60 days. Check details:
Cert name: CN=journal.ahima.org
Cert public key: 3082010A0282010100B2B0A333B041928AC2C1D83A7F2B00CA65F5A62E404BD1D5FEC2DE4DA53C66069B603051E2C5F1FE5810CB93F079E869A00B55D515BB76D3BA02D74A054E883392849440E3860FDFBFB5F9E92297BA30A09B47A5DA15EAB983FC1819BEBBBADA4D25DBC77F483FC9E6D4FA48B815341C31F10EB85D1C5B3F6BC142C4E1C8F12E0D3E7F45EE23CE81FD81FE3AC5F0E0EA6099FB44547E045F5B7A7390E136F25C93B59044787488A9D09D51A1CDFF37F57F872D845640B4A4E2C7853F204EDD8905B85B2B66036EEE8BFCD029949146F0AFE4A1B819512C2A88E23A7EA2AF6AAA3AB02ED7F5C0E3D253A9364595D55EF4797D799EFCD78829E8ACF6C65525AD810203010001
Cert serial number: 0404BF5ECBA80925A7A566E497968097DB9B
Cert thumbprint: D41818D0068DA1FA6EA180BD4A220E742767A1C7
Cert effective date: 8/16/2020 9:44:51 AM
Cert issuer: C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,
https://library.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1cld06 & 07,
https://lyncdiscover.ahima.org,6/11/2021 13:07,231,OKAY,,,
https://mail.ahima.org,9/8/2022 15:09,685,OKAY,,CHI-VM-EXCAS,
https://mail2.ahima.org,9/8/2022 15:09,685,OKAY,,CHI-VM-EXCAS,
https://meditech.ahima.org,9/8/2022 15:09,685,OKAY,Contact Meditech,,
https://meditechssh.ahima.org,,,ERROR,"Exception while checking URL https://meditechssh.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://my.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
https://my-qa.ahima.org,,,ERROR,"Exception while checking URL https://my-qa.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: An unexpected error occurred on a send."" ",,
https://mytest.ahima.org,,,ERROR,"Exception while checking URL https://mytest.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://my-test.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-TESTB,
https://my.test.ahima.org,,,ERROR,"Exception while checking URL https://my.test.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://nuget.ahima.org,,,ERROR,"Exception while checking URL https://nuget.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (403) Forbidden."" ",,
https://old.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1cld06 & 07,
https://outlook.ahima.org,9/8/2022 15:09,685,OKAY,,CHI-VM-EXCAS,
https://outlookcas.ahima.org,9/8/2022 15:09,685,OKAY,,CHI-VM-EXCAS,
https://owa.ahima.org,7/2/2022 7:00,616,OKAY,,,
https://perspectives.ahima.org,11/14/2020 8:51,21,WARNING,"Cert for site https://perspectives.ahima.org expires in 21 days [on 11/14/2020 08:51:13]
Threshold is 60 days. Check details:
Cert name: CN=perspectives.ahima.org
Cert public key: 3082010A0282010100D19FB5C629385F93E6BC90B096122182773E205436C3EDF9C0FBA20D17F06753C64D92936FE1A76864A6B427D1FDD3130A52595F0F2159EB7965C57C7070DA5FD2685CCDE0B1CA71FED231AC6D1CCFDDB150550B5EEE16A8052C0F9A917DEDA17189B8DCD73A3A1B2A38022A0B07B81F1077AF6D0F9CA2705437C2521ABA7833E48CBE00D7BB6636813B04C8478F43526FEF8D83FC2D23C34CA42778F0FD24187047F3A44E74CDD4B89A307BDBFB20D47B46D79DF530620A6E14A55401B7EDD23E030907CB7662E4231095A678524F5ED6439E1BA6FAD3103EF743F5F97F579D82FE013D9208018E83ADE8D3EE51C234CB291A41C475B15D24C1D1E4AAAF79630203010001
Cert serial number: 04A2D376ECCCE85EA9555D16FBA4F1ED8E40
Cert thumbprint: 148B8F154B406423A8C35D9D2E29968F87A13E50
Cert effective date: 8/16/2020 9:51:13 AM
Cert issuer: C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,
https://portal.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
https://portal.test.ahima.org,,,ERROR,"Exception while checking URL https://portal.test.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://pos.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
https://postest.ahima.org,,,ERROR,"Exception while checking URL https://postest.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (503) Server Unavailable."" ",,
https://quantim.ahima.org,,,ERROR,"Exception while checking URL https://quantim.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://realmagnet.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
https://remote.ahima.org,9/8/2022 15:09,685,OKAY,,CH1RDGW01,
https://resourceconnect.ahima.org,12/28/2020 22:47,66,OKAY,,,
https://rras.ahima.org,,,ERROR,"Exception while checking URL https://rras.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://s451129._domainkey.ahima.org,6/9/2022 18:59,594,OKAY,,,
https://search.ahima.org,,,ERROR,"Exception while checking URL https://search.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://secure.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
https://selector1._domainkey.ahima.org,,,ERROR,"Exception while checking URL https://selector1._domainkey.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote name could not be resolved: 'selector1._domainkey.ahima.org'"" ",,
https://selector2._domainkey.ahima.org,,,ERROR,"Exception while checking URL https://selector2._domainkey.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote name could not be resolved: 'selector2._domainkey.ahima.org'"" ",,
https://send.ahima.org,8/5/2022 14:57,651,OKAY,,,
https://sip.ahima.org,,,ERROR,"Exception while checking URL https://sip.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://sisumeditech.ahima.org,9/8/2022 15:09,685,OKAY,Contact Meditech,,
https://ssofs.ahima.org,,,ERROR,"Exception while checking URL https://ssofs.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (401) Unauthorized."" ",,
https://store.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
